topic,idx,q,a,context,datatype,attitude,group
Ethnic culture,22105,Why does Negro's appearance not fit the aesthetic of most Chinese?,"I worked in Uganda, Africa for a year and was in constant contact with Negro.",0,0,0,Negro
Ethnic culture,19379,Why did Jeremy Lin get raced in the NBA while Yao Ming didn't?,Who specifically said that Yao Ming was not discriminated.,1,2,3,racism
minority,5347,Have you ever been discriminated by?,"I'm from Yunnan, and the most painful thing when I used to go to school in a free shipping area was to introduce myself.",1,1,3,Zhuang people
Ethnic culture,23402,How to evaluate the suspension of a professor at the University of California for not giving good grades to Negro students?,The professor was impartial and did nothing wrong.,0,0,0,Negro
Ethnic culture,19307,Why did Jeremy Lin get raced in the NBA while Yao Ming didn't?,"Don't say that in the basketball circle of the NBA, yellow people are discriminated by white skin and black skin.",0,1,3,racism
Ethnic culture,14744,Why don't some Canonians consider themselves Southeast Asian?,"Why is this so, in fact, it is all profitable, just like this, the changes in the world for thousands of years have come like this, who is strong, who has great influence, he will rely on whomever and learn more advanced than himself.",1,2,2,Southeast Asian
Ethnic culture,18738,"Japanese teachers scold China in almost every class, what should I do as a Chinese student?",Seriously go back! This is the truth.,0,0,0,Japanese
minority,5414,Have you ever been discriminated by?,"Oh, who dares to discriminate our Hunan people, our Hunan people this violent temper.",1,2,2,Zhuang people
Ethnic culture,15712,What do you think of BLM?,"Black, Lives, Matter (abbreviation: BLM).",0,0,0,Asian discrimination
Ethnic culture,21954,Why would United States Negro risk his life rather than listen to the police?,"Are you sure? I think you're making things up, stigmatizing United States Negro, and people are dead listening to the police.",0,2,3,Negro
minority,5406,Have you ever been discriminated by?,It should be regarded as being discriminated by others.,1,2,2,Zhuang people
Ethnic culture,17190,"Why is it that Indian is thriving in Silicon Valley, but Chinese is difficult to blend into the top?","Many people say that Indian's love of bragging only does PPT and does not work, ignoring Indian's desperate efforts to go forward, because they have no way back.",1,2,2,Indian
Ethnic culture,15393,Should Asians support the BLM protests?,"Fuck blm, fuck alm.",0,1,3,BLM/Asian discrimination
Ethnic culture,17962,What do Japanese think of Chinese?,"Basically, China is regarded as an enemy country, and there will be an enemy country like World War I without you, and Japan's imaginary enemy is China.",1,1,3,Japanese
