topic,idx,q,a,context,datatype,attitude,group
Gender,14550,What is it like for trans women to pretend to be a boy?,"The phrase ""pretend to be a boy"" is interesting.",0,0,0,Transgender
Gender,6905,"do some girls dislike the word ""virtuous""?","Because some people think that ""virtuous"" is synonymous with ""obeying the command of the husband"".",0,1,3,Disgust virtuousness
Gender,7609,it realistic to ask girls in their 20s to be virtuous?,"As long as you give enough money, don't say that virtuous women can provide you as an uncle.",0,1,3,Disgust virtuousness
Gender,13550,When did you feel discrimination against men?,"The recent cargo lala, whether the deceased jumped or crashed, was only caused by her own unilateral act, and as a result, the media around the world referred to the suspect victim as the victim",1,2,2,Discrimination against men
Gender,8050,Is there a gay man who can tell his own story?,"Thanks for the invitation. I was affected, I only felt gay in junior high school, secretly fell in love with my tablemates for a long time, and became best friends with his girlfriend.",0,0,0,Homosexual
Gender,9770,do some people (such as some highly educated people such as PhDs) have disdain for housewives?,"I was fortunate to meet a very good, capable, and powerful female professor who taught English writing.",0,0,0,housewife
Gender,13839,"If women's rights are equal rights, why do they never face up to the oppression of men?","People will only ask for rights for themselves, and who will give themselves obligations",1,2,3,Discrimination against men
Gender,11178,will the current gender antagonism end?,When the next generation of women starts paying off their debts.,1,2,2,gender opposition
Gender,9352,"Women who are afraid of delaying their careers by having children, how good are their careers?","You are wrong, except for a few women with strong careers, for the vast majority of women who are willing to have children, they dare not have children precisely because their careers are not good enough.",1,2,2,Women's occupation
Gender,11169,When will the current gender antagonism end?,When the economy collapses. The difference in the physiological structure of men and women leads to the innate reproductive rights of girls.,1,2,2,gender opposition
Gender,8308,How do lesbians make life after 30 not pathetic?,"Immediately into 30, I knew at a very young age that I liked girls, and I began to plan for the future at a very young age, and now, I feel that life is okay and the status quo is quite satisfied.",0,1,2,Lesbian
Gender,12325,"As a sexual minority, do you ever want to cry?",twisted my foot at school and was taken to the hospital in the middle of the night.,0,0,0,LGBTI
Gender,7578,"How to view girls' dissatisfaction with ""boys like warm girls who are gentle and virtuous""?","I think it's not a problem for men to find a submissive housewife and women who want to find a rich and good life to eat and be lazy, and if they don't like it, they can be unreasonable and not contacted.",1,2,2,Disgust virtuousness
Gender,11316,"Do girls generally do better than boys in college, and why?","As a girl, let me give you my opinion.",0,0,0,Gender Achievements
Gender,11042,When will the current gender antagonism end?,"Until a new economic boom emerged, leaving both men and women busy making money as a temporary end.",0,0,0,gender opposition
Gender,9931,it shameful to aim in life to be a housewife,don't think there's anything wrong with being a housewife.,0,1,2,housewife
Gender,12385,"How do you view the release of the survey report ""LGBTI Living Conditions in China""?",Why minorities are discriminated against.,1,2,2,LGBTI
Gender,9293,What are the career prospects for girls who do data analysis? Is data analysis boring?,"As a woman, a data analyst, to say boring, boring, sometimes feel very boring, even very irritable.",0,2,3,Women's occupation
Gender,8705,Is there any way to discern LES?,"Engage in all kinds of lily cp. (For example, the9...",0,1,3,Lesbian
Gender,11462,"Do girls generally do better than boys in college, and why?","I am about to graduate, I feel that grades are very important, but not so important, the key is to eat knowledge, skills, experience into the stomach, grades are second",0,0,0,Gender Achievements
Gender,11768,Is sexism serious in China?,"I don't know this, it's true that you don't have to change your surname when you get married anyway.",0,0,0,Sexism
Gender,10417,Want to know what it's like to have a stay-at-home wife (housewife) from a male perspective?,"I don't want to ruin the good feelings that many people indulge in, but the reality is that a woman has not worked for a long time, has no output, and even her own parents dislike it",0,1,3,housewife
Gender,10850,How to view the growing gender antagonism on Weibo?,"My dormitory generally calls Weibo a women's toilet, and Tieba is a men's toilet.",1,2,3,gender opposition
