topic,idx,q,a,context,datatype,attitude,group
occupation,26751,What if a nursing student doesn't want to be a nurse?,"When I was in college, I went to the confinement center part-time in the summer, working in two shifts, and the work was relatively single, basically dealing with the baby and the mother.",0,0,0,Nursing careers
occupation,27274,Why do some science students in my country look down on liberal arts students?,"Let's start with the conclusion: most science students despise liberal arts students who are not good enough, and we also despise uneducated science students.",0,2,3,Arts and Sciences
occupation,24878,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?","Have you ever seen any leader who let his children into the workshop as workers, at any level, the head of the commissary does not count?",0,1,2,worker
occupation,26048,"Why have ""workers"" and ""peasants"" become synonymous with indecency?",Because the most advanced productivity is not in their hands.,0,0,0,Worker farmers
occupation,25058,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?",This starts with the changes in the factory.,1,2,2,worker
occupation,25856,"Is the title ""migrant worker"" and ""new generation of migrant workers"" discriminatory?","When my grandfather was young, he herded cattle for the landlord's family and watched the landlord's children eat big fish and meat.",0,0,0,Worker farmers
occupation,26685,What if a nursing student doesn't want to be a nurse?,"Reply uniformly, I have been working for a while, but I currently need prevention and control due to the epidemic, so I am temporarily arranged to go to pre-examination and triage support, here.",0,0,0,Nursing careers
occupation,24945,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?","After reading the Angang Constitution, I feel that we are still spoiling while eating the old book",0,2,3,worker
occupation,25629,Why do you say that the capitalists oppress the workers when it is clear that the workers voluntarily go to the factory?,Marx-Lenin and others have long explained this problem,0,0,0,worker
occupation,24769,"After the nineties, they are not willing to enter the factory as a worker, how should the factory develop in the future?","The factory raised the banner against compulsory education, higher education.",0,0,0,worker
occupation,28533,"Why do we always advocate professional equality and oppose social Darwin, while encouraging children to study hard and get a good job?","You have two dollars and can only buy a bottle of water; But if you have five bucks, you can buy water, Coke, Sprite, juice...",0,0,0,Occupational discrimination
occupation,25627,Why do you say that the capitalists oppress the workers when it is clear that the workers voluntarily go to the factory?,"This is oppression, you have to go, you have to live to have a chance to resist.",1,1,3,worker
occupation,27800,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?",There is no essential difference between migrant workers building high-rise buildings in the real world and programmers building app networks in the virtual world.,0,1,2,The new generation of migrant workers/programmers
occupation,28267,What happens to programmers after five years of work?,"For me, 5 years ago, the salary in 2016 was 22k, and a certain American company in Beijing called itself a Chinese company, his home was from Changsha, and he bought a house the next year.",0,0,0,programmer
occupation,24909,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?","In the past, single men were called bachelors, and now single men are called female dogs, so it is not that the status of workers has declined, but that some people can no longer be accepted by society as people, but dogs.",1,1,3,worker
occupation,27750,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?",Can the questioner not directly spread rumors.,0,0,0,The new generation of migrant workers
occupation,27863,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?","For the most part, it is really farmers who go to the cities and train for a few months to take up their posts.",0,1,3,The new generation of migrant workers
occupation,28585,"Why do we always advocate professional equality and oppose social Darwin, while encouraging children to study hard and get a good job?","The strong have surplus food and the weak have a life, which is already a material-rich human coexistence system under ideal conditions.",0,0,0,Occupational discrimination
occupation,26294,"The NPC deputies suggested advocating that the media not use language such as ""migrant workers"", is the term ""migrant workers"" discriminatory?","Very good, I support changing ""migrant workers"" to ""workers and peasants' grandfathers"" or ""workers and peasants' leaders.""",0,1,2,Worker farmers
occupation,26601,Is it really a good development to study nursing as a boy?,"Seriously, looking at the employment situation of the classmates around me, I feel that boys studying nursing is really a good job.",0,1,2,Nursing careers
occupation,27062,Can the nurse bosses in Zhihu answer the current situation of work after graduating from nursing graduate school?,"Well, in fact, it is a long process to cash out after graduate school, and the key is to find the direction you want to work towards.",0,1,2,Nursing careers
occupation,26432,Why is everyone reluctant to study nursing?,Emmm was very reluctant to study medicine before he went to college.,0,0,0,Nursing careers
occupation,26024,"Why have ""workers"" and ""peasants"" become synonymous with indecency?","Materialist philosophy believes that the best answer to this kind of question is to avoid it, so delete it from the browsing record and it comes out again, hehe.",0,0,0,Worker farmers
occupation,25213,Why would a German factory worker be willing to work in the same factory all his life until retirement?,I also want to work in the company for decades...,0,0,0,worker
occupation,27050,Can the nurse bosses in Zhihu answer the current situation of work after graduating from nursing graduate school?,"If you go to a university, you must have a doctoral degree, of course, you can also go to the hospital, as long as you are physically and psychologically qualified for the work of the hospital.",1,1,2,Nursing careers
occupation,24964,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?","In the past, workers were very popular, one was because selling coolies and selling technology could support their families, which was a very proud position; The other is because it used to be the industrial era.",0,1,2,worker
occupation,25423,Why would a German factory worker be willing to work in the same factory all his life until retirement?,Chinese workers are also willing to work in a factory for the rest of their lives,0,0,0,worker
occupation,27732,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?","Some people, if they don't get on the ass, don't know what class they are on the whole check, and the state doesn't come to wake up ...",1,2,3,The new generation of migrant workers
occupation,26349,"The NPC deputies suggested advocating that the media not use language such as ""migrant workers"", is the term ""migrant workers"" discriminatory?","The point is not the title, but how not to let migrant workers or farmers be discriminated against - this is the essence of the problem, I don't know why farmers are discriminated against, there are no farmers.",0,0,0,Worker farmers
occupation,25781,"Is the title ""migrant worker"" and ""new generation of migrant workers"" discriminatory?","From a personal point of view, I don't think there is.",1,0,0,Worker farmers
occupation,27676,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?","It is indeed very low, and Peking University X-bird training can be put on the job in 1 month",1,2,3,The new generation of migrant workers
occupation,27511,"In 2020, the monitoring report of the new generation of migrant workers in Beijing was released, which showed that the proportion of people engaged in information software has increased significantly, what does it mean?",I don't understand what the old Yees in the capital think.,0,1,3,The new generation of migrant workers
occupation,27074,Why do some science students in my country look down on liberal arts students?,"Because of the low level, he is despised in his own circle",1,2,3,Arts and Sciences
occupation,27789,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?",As long as you give me the money and you say I'm your leg hair.,0,0,0,The new generation of migrant workers
occupation,25295,Why would a German factory worker be willing to work in the same factory all his life until retirement?,"To borrow a sentence from Jack Ma, why do employees leave, give less money, and be wronged",0,2,2,worker
occupation,27735,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?","The state does not position programmers as migrant workers, but as migrant workers with rural hukou who work abroad.",0,0,0,The new generation of migrant workers
occupation,26774,What if a nursing student doesn't want to be a nurse?,"I think don't waste learning, you can choose to go abroad as a nurse, it's better, I am also an American RN now.",0,0,0,Nursing careers
occupation,27700,"I have a question why the state defines the new generation of programmers as migrant workers, rather than high-end or scientific and technological talents, does this mean that the threshold for programmers is low?",Let's ask if it's okay first. What is the essence of programmer migrant workers?,0,0,0,The new generation of migrant workers
occupation,25088,"In the past, factories used to call workers workers, but now some people call workers factory dogs. What caused the status of workers to plummet?",Much better now! Be content.,1,0,0,worker
occupation,25459,Why do you say that the capitalists oppress the workers when it is clear that the workers voluntarily go to the factory?,"Is there a difference between taking a gun and letting you be voluntary, and monopolizing everything you need, and starving you to be voluntary?",1,1,2,worker
occupation,28477,"Why do we always advocate professional equality and oppose social Darwin, while encouraging children to study hard and get a good job?",Can you study hard and get a good job?,0,2,3,Occupational discrimination
