topic,idx,q,a,context,datatype,attitude,group
region,5003,How does Chaoshan people feel to you?,"Really bad impression. (Not for all Chaoshan people, nor for region black.)",1,1,3,Chaoshan people
region,2339,What do you think of Northeasterners?,"To be honest, it's not as complicated as I want to say, and I don't want to expand to any level.",1,0,0,Northeasterners
region,2154,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","Because the northeast has long been industrialized, who has heard that workers are poorer than peasants?",1,1,2,Northeasterners
region,501,How serious is Region discrimination in Shanghai?,,1,1,2,Shanghainese
region,3542,What is it like for Henan people to be in the provinces?,Henan people always feel that other places discriminate against them.,0,1,3,Henan people
region,3511,Why are Henan people called Chinese gypsies?,"After reading so many black Henan people's texts, they are basically numb, and Region discrimination is a thing that is difficult to change in one or two generations.",0,2,2,Henan people
region,152,Are Shanghainese really richer?,"The third generation of immigrants to Shanghai, the first generation is a generation of rich families in Jiangsu and Zhejiang, bought a few small western-style buildings in Shanghai and moved their families, ten years after DL, the house was collected and only left.",0,0,0,Shanghainese
region,3334,Why has the reputation of Henan people suddenly improved in the past year?,Maybe because Guo Donglin was sued?,1,1,3,Henan people
region,1309,What should I pay attention to when working with Shanghainese?,"Elevate yourself! It works the same with anyone, and as for the language, you can speak Mandarin in a big way.",1,2,2,Shanghainese
region,3777,Where is the worst place in China to be hacked by Region discrimination?,"Elevate yourself! It works the same with anyone, and as for the language, you can speak Mandarin in a big way.",0,2,3,Zhejiang people
region,883,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Two years ago in April, I had my phone stolen from the school gate.",0,2,3,Shanghainese
region,2992,Have you ever experienced Region discrimination firsthand?,"Go to Zhejiang to play, and be looked down upon by Zhejiang people.",0,2,3,Region discrimination
region,2896,Have you ever experienced Region discrimination firsthand?,I am a native of Wuhan in Shenzhen who has not returned to Hubei for a year.,0,0,0,Region discrimination
region,2257,What do you think of Northeasterners?,Anonymity. Read in the South and know a few Northeasterners.,0,1,2,Northeasterners
region,4914,What is everyone's impression of Chaoshan people?,"I have the impression that the appearance of Chaoshan sister paper is relatively high in Guangdong, and you can know it by squatting in the thirteen lines of Guihuagang Railway Station after work.",0,1,1,Chaoshan people
region,127,Are Shanghainese really richer?,"I met a girl from Jiangxi, and when chatting, she said, why are your houses in downtown Shanghai so small and sold so expensive?",1,1,3,Shanghainese
region,1579,Are Northeasterners a good mix in the South?,"I'm anonymous. Northeasterners in the South are ""Martians coming to Earth""—enigmatic with a sense of superiority and self-confidence.",0,1,3,Northeasterners
region,4245,Will Zhejiang fall to the second echelon in the near future?,I Zhejiang is a typical Chinese eldest son.,1,2,2,Zhejiang people
region,3855,What do provincials think of Zhejiang people?,"Jews in Asia. After work, because many of the company's suppliers are in Zhejiang, they often run to Zhejiang.",1,1,3,Zhejiang people
region,4209,Will Zhejiang fall to the second echelon in the near future?,"How, black finish northeast, Henan, Shaanxi, Anhui, Hebei.",1,0,0,Zhejiang people
region,170,Are Shanghainese really richer?,It's true. Generally quite rich.,1,1,2,Shanghainese
region,399,How serious is Region discrimination in Shanghai?,1，Shanghainese有条不成文的规定，在上海分单双号，逢单就全体去火车站歧视外地人，逢双就跑到机场歧视外地人。,1,2,3,Shanghainese
region,2276,What do you think of Northeasterners?,"To tell the truth, when I didn't have much contact, I always felt that the Northeasterners were bold and righteous, speaking generously and humorously, combined with the heavy industry background of the region.",1,1,2,Northeasterners
region,2083,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","The income is acceptable, the price is medium, the real estate is not overdeveloped, Liaoning fourth-tier cities, parents and teachers civil servants, a month's salary + provident fund is almost 167.",1,1,2,Northeasterners
region,871,"As a Shanghai drifter, what moment was you shocked by Shanghainese?",My grandmother was originally from Suzhou and married in Shanghai in the 50s.,0,0,0,Shanghainese
region,1575,Are Northeasterners a good mix in the South?,"All aspects of the measurement bar are generally good, Heilongjiang people in Zhejiang.",0,0,0,Northeasterners
region,1435,I would like to know what you guys think of Shanghainese?,I have worked in Shanghai for several years and have been exposed to pure Shanghainese.,0,0,0,Shanghainese
region,2403,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?","Sleeping on the train, a southerner seems to have a business that is not going well.",0,0,0,Northeasterners
region,3568,"Speaking of Henan people, what was your first impression?","I just graduated from college, I met Henan people in a shared house, I have endured it for a long time, and I can't bear it today!",0,1,3,Henan people
region,1910,Are Northeasterners really that grumpy?,I don't feel like Xinjiang is bursting. I went there for a tour the first two days.,0,0,0,Northeasterners
region,2562,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?",Some people say that many of the Northeasterners themselves say on the Internet.,0,2,3,Northeasterners
region,1367,I would like to know what you guys think of Shanghainese?,"I'm 310, let me tell you.",1,1,3,Shanghainese
region,2021,"Why are the vast majority of Northeasterners around me better off than me, some even much better?","Sympathy! I am also from Sichuan, and I worked in a state-owned enterprise in Shenzhen, where the company's order class was at the school, and the school where I was also an order student was also a school in Harbin.",0,0,0,Northeasterners
region,63,Is it normal for Shanghainese to have five million in the family?,"Especially ordinary, the down payment for any non-urban house in Shanghai is four or five million.",1,1,2,Shanghainese
region,453,How serious is Region discrimination in Shanghai?,"asically non-exclusive, depending on whether your nationality is in their definition or not.",1,2,2,Shanghainese
region,2993,Have you ever experienced Region discrimination firsthand?,Putian people. I probably don't need to explain.,0,0,0,Region discrimination
region,135,Are Shanghainese really richer?,"2021/5。 The original answer was written two years ago, and looking back at many premature ideas, the original manuscript was deleted.",0,0,0,Shanghainese
region,3794,Where is the worst place in China to be hacked by Region discrimination?,"We Anhui people have been hacked a lot, crying.",0,2,3,Zhejiang people
region,5006,How does Chaoshan people feel to you?,"Online: machismo, son preference, domestic violence.",0,2,3,Chaoshan people
region,4286,Will Zhejiang fall to the second echelon in the near future?,"What? Zhejiang has always been at the bottom, where did the ""fall"" come from?",0,1,3,Zhejiang people
region,902,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Traditional private companies, same office, almost the same job.",0,0,0,Shanghainese
region,3419,Why has the reputation of Henan people suddenly improved in the past year?,Where are you from?,1,1,3,Henan people
region,3392,Why has the reputation of Henan people suddenly improved in the past year?,"Because of the rapid economic development of Henan in the past two years, great progress has been made in all aspects of undertakings.",1,1,2,Henan people
region,1020,"As a Shanghai drifter, what moment was you shocked by Shanghainese?",Shanghainese can speak Mandarin without an accent at all.,0,1,1,Shanghainese
region,4467,Is Region discrimination serious in Zhejiang?,"Good objective posting. Let me talk about it, Jinhua's, in Suzhou for more than ten years.",0,0,0,Zhejiang people
region,3909,Why do most Zhejiang people marry only people from the province?,Which place is the first place for people looking for people who are not the same as locals?,0,1,2,Zhejiang people
region,1322,What should I pay attention to when working with Shanghainese?,Shanghainese is of good quality and never xenophobic.,0,1,1,Shanghainese
region,765,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","I, a Shanghai native, saw the following paragraph and was shocked.",0,0,0,Shanghainese
region,4934,What misconceptions do we have about Chaoshan people?,"In view of this pure point of view, I will only express my knowledge and love for the Chaoshan region.",0,0,0,Chaoshan people
region,104,Are Shanghainese really richer?,"In Shanghai, ""Shanghainese"" refers to residents in the heart of the city.",0,1,3,Shanghainese
region,1612,Are Northeasterners a good mix in the South?,"It's okay. When I went to Beihai to play, I felt that one-fifth of the local area was Northeast Yin'er, eating roasted oysters in the city, eldest sister: ""Sister, come to a dozen?"" ”",1,1,2,Northeasterners
region,2470,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?","Just now, in the Guangzhou subway in the city center on Friday rush hour, everyone was very crowded, a pair of northeast couples got off in front of the park, and it was not good to borrow and let go without approaching the door in advance.",1,2,3,Northeasterners
region,798,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Tell a few small details. When I first came to Shanghai to go to school more than ten years ago, I once went to buy a telephone recharge card near the school, and it rained heavily, bought the card and went back to go out, and saw two thieves, following the two girls.",0,0,0,Shanghainese
region,2899,Have you ever experienced Region discrimination firsthand?,"I am from Liaoning, and I have never experienced discrimination in real life, on the Internet.",0,2,2,Region discrimination
region,2989,Have you ever experienced Region discrimination firsthand?,"Yes, obviously we are the best place in the province to say tongue upturning, but as a result, the group of people who can only speak flat tongue heard about my hometown.",1,0,0,Region discrimination
region,3645,Where is the worst place in China to be hacked by Region discrimination?,Previous old answer. Why is the South increasingly demonized online?,0,0,0,Zhejiang people
region,563,How serious is Region discrimination in Shanghai?,"I saw Region discrimination when I brushed Weibo last night, and it is rare to be so arrogant now.",0,2,3,Region discrimination /Shanghainese
region,2227,What do you think of Northeasterners?,"I used to like Northeasterners a lot, but after contact, I really felt that Northeasterners were not of good character, not including all Northeasterners, and there were good and bad places.",0,1,3,Northeasterners
region,3883,What do provincials think of Zhejiang people?,"When I was not familiar, I felt fine, but after I cooked it, I found out how there are such people?",1,1,3,Zhejiang people
region,337,Are Shanghainese really richer?,"My family lived in Pudong, and I was demolished in nine years, and I was assigned a house at that time, but unfortunately I was too young at the time, I was still in kindergarten, and I couldn't figure out how much demolition and relocation money my family had received.",0,0,0,Shanghainese
region,3733,Where is the worst place in China to be hacked by Region discrimination?,I think it's Henan... The impression has always been poor and without a manhole cover …,0,1,3,Zhejiang people
region,1127,What should I pay attention to when working with Shanghainese?,Please don't say Shanghainese xenophobia!,1,1,2,Shanghainese
region,1062,What does Shanghainese look like in your eyes?,I don't understand why Shanghainese uses discriminatory yp to address outsiders.,0,2,3,Shanghainese
region,4883,What is everyone's impression of Chaoshan people?,"Coordinates Guangzhou. Her best friend is Chaoshan people, who had a good impression of Chaoshan people until she reached out to her parents and more Chaoshan people.",0,1,3,Chaoshan people
region,1486,I would like to know what you guys think of Shanghainese?,"There are bold Shanghai men, drinking is painful, and the amount of alcohol thieves is good!",0,1,1,Shanghainese
region,3247,Why has the reputation of Henan people suddenly improved in the past year?,The stigmatization and entertainment of regional black.,1,2,2,Henan people
region,483,How serious is Region discrimination in Shanghai?,"As a suburban native, I seem to prefer to deal with outsiders.",1,1,2,Shanghainese
region,2685,How to get along with Northeasterners on the Internet?,"How to get along with the Northeasterners, in fact, I have found the answer!",0,2,2,Northeasterners
region,3203,Why has the reputation of Henan people suddenly improved in the past year?,Because now the line solo is Shandong and Guangdong.,1,2,2,Region discrimination /Henan people
region,2476,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?",Take an example. Just from the Northeasterners.,0,2,3,Northeasterners
region,2549,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?",I'm Northeasterners. I didn't go out until high school.,0,0,0,Northeasterners
region,359,How serious is Region discrimination in Shanghai?,We need to look at the problem dialectically.,0,0,0,Shanghainese
region,1026,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Our company is a Shanghainese, female, this person is a department leader.",0,0,0,Shanghainese
region,3831,What do provincials think of Zhejiang people?,"I am Zhejiang people to answer this wave, often said that Zhejiang people are shrewd, I think it is a lot of eyes, hypocrisy, small calculations, feel that those people are interests first, step on you behind the back, the appearance is different.",1,1,3,Zhejiang people
region,4586,Is Region discrimination serious in Zhejiang?,Ningbo people basically do not look down on the people of this province.,0,2,2,Zhejiang people
region,1015,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","Seeing that there was an anonymous answer earlier that there was a situation where ""why did you come to Shanghai if you can't speak Shanghainese"", I would also like to say two words.",0,2,3,Shanghainese
region,1635,What do Northeasterners think of the Northeasterners?,"After 2010, under the organization of the southern media and NGOs, some places looked at the northeast like Europe and the United States looked at China.",1,1,2,Northeasterners
region,2610,"Recently, there are many people on Zhihu/Weibo who are constantly complaining about the social phenomenon in Northeast China and Northeasterners, what do you think of this?","It may be that there are Northeasterners in every region of the country, but everyone is unlucky to run into a worse one.",0,1,3,Northeasterners
region,4755,"It is said that Chaoshan people are good at business, is it true? What is the manifestation?","I can find a lot of fake and inferior goods produced by Chaoshan in a small supermarket in Guangzhou at any time, do you believe it or not?",1,1,3,Chaoshan people
region,3995,Why do most Zhejiang people marry only people from the province?,"Because most provinces prefer local people to marry, it is rarely said that in order to find outsiders, it should be the consensus of the whole country that daughters do not marry.",1,1,2,Zhejiang people
region,442,How serious is Region discrimination in Shanghai?,"A Shanghainese classmate, seriously, sympathetically, told me that although he was a noble Shanghainese, I really didn't have to feel inferior in the face of him.",0,2,3,Shanghainese
region,881,"As a Shanghai drifter, what moment was you shocked by Shanghainese?","There is a male colleague A and female colleague B in the former company, who have always been in a relationship, although we know that they have this but they don't force our heads if they don't admit it.",0,0,0,Shanghainese
region,255,Are Shanghainese really richer?,"According to the land price, if the parents were dual-income workers and the unit had a separate house, it was equivalent to you having two houses in downtown Shanghai, and the assets were tens of millions.",1,1,3,Shanghainese
region,4075,Why do most Zhejiang people marry only people from the province?,"Because most of the people a Zhejiang people come into contact with are also Zhejiang people, you change Zhejiang to any location, it's like this.",1,1,2,Zhejiang people
